,dialogue_indexes,dialogue_sentences,dialogue,dialogue_id,dialogue_paths,snippet_indexes,snippet_sentences,snippet,snippet_paths,fallacy
54,"[207, 208, 209]","[""What we do is work on that budget by an aggressive program, not a painful program, so that we can start borrowing less money and getting more investment money on the street through entrepreneurs who can build factories, who will hire people, and maybe we'll start manufacturing goods here in this country again."", ""That's -- that's my answer."", 'Okay.']","What we do is work on that budget by an aggressive program, not a painful program, so that we can start borrowing less money and getting more investment money on the street through entrepreneurs who can build factories, who will hire people, and maybe we'll start manufacturing goods here in this country again. That's -- that's my answer. Okay.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/207.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/208.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/209.wav')]",[211],"[""Bill Clinton's top priority is putting America back to work.""]",Bill Clinton's top priority is putting America back to work.,[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/211.wav')],0
55,"[226, 226, 231]","['No.', 'No.', ""Our people will be glad to furnish the press, if they're interested, in Senator Gore's voting record on the Caribbean Basin Initiative.""]","No. No. Our people will be glad to furnish the press, if they're interested, in Senator Gore's voting record on the Caribbean Basin Initiative.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/226.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/226.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/231.wav')]",[232],"[""But let's talk -- you know, you keep talking about trickle-down economics and all this stuff, about the worst economy since Hoover.""]","But let's talk -- you know, you keep talking about trickle-down economics and all this stuff, about the worst economy since Hoover.",[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/232.wav')],0
56,"[226, 231, 232]","['No.', ""Our people will be glad to furnish the press, if they're interested, in Senator Gore's voting record on the Caribbean Basin Initiative."", ""But let's talk -- you know, you keep talking about trickle-down economics and all this stuff, about the worst economy since Hoover.""]","No. Our people will be glad to furnish the press, if they're interested, in Senator Gore's voting record on the Caribbean Basin Initiative. But let's talk -- you know, you keep talking about trickle-down economics and all this stuff, about the worst economy since Hoover.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/226.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/231.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/232.wav')]","[233, 234]","['It is a bad economy.', ""It's a tough economy.""]",It is a bad economy. It's a tough economy.,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/233.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/234.wav')]",0
57,"[240, 241, 242]","['How is raising taxes going to help the farmer?', 'How is raising taxes going to help the consumer in America?', 'I submit to you that raising taxes will make matters much, much worse.']","How is raising taxes going to help the farmer? How is raising taxes going to help the consumer in America? I submit to you that raising taxes will make matters much, much worse.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/240.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/241.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/242.wav')]",[246],"[""Well, we've got to re -- we've got to clean out the barn, if I may quote my boss, and start getting this investment money on the street so we can get, and encourage entrepreneurs to build factories.""]","Well, we've got to re -- we've got to clean out the barn, if I may quote my boss, and start getting this investment money on the street so we can get, and encourage entrepreneurs to build factories.",[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/246.wav')],0
58,"[253, 256, 257]","['We also have tax incentives for investment in job-creating activities, not the kind of encouragement for short-term rip-offs like the proposal that we have had from George Bush.', 'When are you going to stop that program?', 'We do not have any program that encourages companies to close down here and to go and invest on foreign soil.']","We also have tax incentives for investment in job-creating activities, not the kind of encouragement for short-term rip-offs like the proposal that we have had from George Bush. When are you going to stop that program? We do not have any program that encourages companies to close down here and to go and invest on foreign soil.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/253.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/256.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/257.wav')]",[258],['That is absolutely outrageous.'],That is absolutely outrageous.,[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/258.wav')],0
59,"[260, 261, 262]","['We want businesses to expand.', ""Do you realize this, Senator, that every job that's overseas there's 3 jobs back here to support that."", 'But never have we ever, nor would we, support the idea of someone closing down a factory here and moving overseas.']","We want businesses to expand. Do you realize this, Senator, that every job that's overseas there's 3 jobs back here to support that. But never have we ever, nor would we, support the idea of someone closing down a factory here and moving overseas.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/260.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/261.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/262.wav')]",[263],"[""That's just totally ridiculous.""]",That's just totally ridiculous.,[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/263.wav')],0
60,"[226, 226, 226]","['No.', 'No.', 'No.']",No. No. No.,18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/226.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/226.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/226.wav')]",[231],"[""Our people will be glad to furnish the press, if they're interested, in Senator Gore's voting record on the Caribbean Basin Initiative.""]","Our people will be glad to furnish the press, if they're interested, in Senator Gore's voting record on the Caribbean Basin Initiative.",[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/231.wav')],1
61,"[211, 212, 213]","[""Bill Clinton's top priority is putting America back to work."", 'Bill Clinton and I will create good, high-wage jobs for our people, the same way he has done in his state.', ""Bill Clinton has created high-wage manufacturing jobs at 10 times the national average and in fact according to the statistics coming from the Bush-Quayle Labor Dept, for the last 2 years in a role Bill Clinton's state has been number one among all 50 in the creation of jobs in the private sector.""]","Bill Clinton's top priority is putting America back to work. Bill Clinton and I will create good, high-wage jobs for our people, the same way he has done in his state. Bill Clinton has created high-wage manufacturing jobs at 10 times the national average and in fact according to the statistics coming from the Bush-Quayle Labor Dept, for the last 2 years in a role Bill Clinton's state has been number one among all 50 in the creation of jobs in the private sector.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/211.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/212.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/213.wav')]",[214],"['By contrast, in the nation as a whole, during the last 4 years, it is the first time since the presidency of Herbert Hoover, that we have gone for a 4-year period with fewer jobs at the end of that 4-year period than we had at the beginning.']","By contrast, in the nation as a whole, during the last 4 years, it is the first time since the presidency of Herbert Hoover, that we have gone for a 4-year period with fewer jobs at the end of that 4-year period than we had at the beginning.",[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/214.wav')],3
62,"[338, 339, 341]","[""Yeah, I'd like to respond first to you, Admiral Stockdale."", 'Under the details of our 5-year budget plan, we do propose more in defense cuts than George Bush and Dan Quayle, but only 5 % more.', ""-- the military portions of our plan, even though he was the chairman of the Joint Chiefs under George Bush, and John White has endorsed the economic aspects of our plan, even though I believe he was the architect of Ross Perot's economic plan.""]","Yeah, I'd like to respond first to you, Admiral Stockdale. Under the details of our 5-year budget plan, we do propose more in defense cuts than George Bush and Dan Quayle, but only 5 % more. -- the military portions of our plan, even though he was the chairman of the Joint Chiefs under George Bush, and John White has endorsed the economic aspects of our plan, even though I believe he was the architect of Ross Perot's economic plan.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/338.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/339.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/341.wav')]",[342],"['Now when I heard George Bush say at the convention in Houston, that when he heard the phrase ""we won the Cold War,"" it made him wonder who the ""we"" was.']","Now when I heard George Bush say at the convention in Houston, that when he heard the phrase ""we won the Cold War,"" it made him wonder who the ""we"" was.",[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/342.wav')],0
63,"[336, 338, 339]","[""So that's still another face of this puzzle."", ""Yeah, I'd like to respond first to you, Admiral Stockdale."", 'Under the details of our 5-year budget plan, we do propose more in defense cuts than George Bush and Dan Quayle, but only 5 % more.']","So that's still another face of this puzzle. Yeah, I'd like to respond first to you, Admiral Stockdale. Under the details of our 5-year budget plan, we do propose more in defense cuts than George Bush and Dan Quayle, but only 5 % more.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/336.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/338.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/339.wav')]",[341],"[""-- the military portions of our plan, even though he was the chairman of the Joint Chiefs under George Bush, and John White has endorsed the economic aspects of our plan, even though I believe he was the architect of Ross Perot's economic plan.""]","-- the military portions of our plan, even though he was the chairman of the Joint Chiefs under George Bush, and John White has endorsed the economic aspects of our plan, even though I believe he was the architect of Ross Perot's economic plan.",[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/341.wav')],1
64,"[313, 314, 315]","['We believe that we can make savings in our defense budget and at the same time, improve our national security.', 'Now, for those who are affected by the cutbacks, whether they come from George Bush or Bill Clinton and me -- the difference is, Bill Clinton and I have a defense conversion program so that those who won the Cold War will not be left out in the cold.', ""We want to put them to work, building an infrastructure and an economy here in this country for the '90's and the next century.""]","We believe that we can make savings in our defense budget and at the same time, improve our national security. Now, for those who are affected by the cutbacks, whether they come from George Bush or Bill Clinton and me -- the difference is, Bill Clinton and I have a defense conversion program so that those who won the Cold War will not be left out in the cold. We want to put them to work, building an infrastructure and an economy here in this country for the '90's and the next century.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/313.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/314.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/315.wav')]","[317, 318, 320]","['We won the Cold War because we invested in national security.', 'We won the Cold War because we invested in our military.', 'We won the Cold War because America had the political will and made the right decisions.']",We won the Cold War because we invested in national security. We won the Cold War because we invested in our military. We won the Cold War because America had the political will and made the right decisions.,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/317.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/318.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/320.wav')]",3
65,"[324, 325, 326]","['Yes, we are making a conversion and we can go to a civil space rather than having defense -- or the defense industry.', 'Well, let me say this: we would not have won the Cold War if we had listened to Senator Gore and his crowd, and had supported a nuclear freeze.', 'If you would have supported that attitude -- if you would have supported that attitude, we would not have won the Cold War.']","Yes, we are making a conversion and we can go to a civil space rather than having defense -- or the defense industry. Well, let me say this: we would not have won the Cold War if we had listened to Senator Gore and his crowd, and had supported a nuclear freeze. If you would have supported that attitude -- if you would have supported that attitude, we would not have won the Cold War.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/324.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/325.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/326.wav')]",[327],['We won the Cold War because we invested and we went forward.'],We won the Cold War because we invested and we went forward.,[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/327.wav')],3
66,"[338, 339, 341]","[""Yeah, I'd like to respond first to you, Admiral Stockdale."", 'Under the details of our 5-year budget plan, we do propose more in defense cuts than George Bush and Dan Quayle, but only 5 % more.', ""-- the military portions of our plan, even though he was the chairman of the Joint Chiefs under George Bush, and John White has endorsed the economic aspects of our plan, even though I believe he was the architect of Ross Perot's economic plan.""]","Yeah, I'd like to respond first to you, Admiral Stockdale. Under the details of our 5-year budget plan, we do propose more in defense cuts than George Bush and Dan Quayle, but only 5 % more. -- the military portions of our plan, even though he was the chairman of the Joint Chiefs under George Bush, and John White has endorsed the economic aspects of our plan, even though I believe he was the architect of Ross Perot's economic plan.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/338.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/339.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/341.wav')]",[342],"['Now when I heard George Bush say at the convention in Houston, that when he heard the phrase ""we won the Cold War,"" it made him wonder who the ""we"" was.']","Now when I heard George Bush say at the convention in Houston, that when he heard the phrase ""we won the Cold War,"" it made him wonder who the ""we"" was.",[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/342.wav')],5
67,"[368, 369, 370]","[""It is not the issue of how he avoided military service 20-some years ago; it's the fact -- it's the fact that he does not tell the truth about it."", ""He first said he didn't get an induction notice, then we find out that he did; he said he didn't have an ROTC slot, then we find out he did; he said he didn't use Senator Fulbright's office for special influence, then we find out that he did."", 'These are inconsistencies.']","It is not the issue of how he avoided military service 20-some years ago; it's the fact -- it's the fact that he does not tell the truth about it. He first said he didn't get an induction notice, then we find out that he did; he said he didn't have an ROTC slot, then we find out he did; he said he didn't use Senator Fulbright's office for special influence, then we find out that he did. These are inconsistencies.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/368.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/369.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/370.wav')]",[371],['Bill Clinton has trouble telling the truth.'],Bill Clinton has trouble telling the truth.,[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/371.wav')],2
68,"[640, 641, 642]","['We ought to be able to build more common ground among those who describe themselves as pro-choice and pro-life in efforts to reduce the number of unwanted pregnancies.', 'But, Dan, you can clear this up very simply by repeating after me: I support the right of a woman to choose.', 'Can you say that?']","We ought to be able to build more common ground among those who describe themselves as pro-choice and pro-life in efforts to reduce the number of unwanted pregnancies. But, Dan, you can clear this up very simply by repeating after me: I support the right of a woman to choose. Can you say that?",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/640.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/641.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/642.wav')]",[644],['This issue is an issue that divides Americans deeply.'],This issue is an issue that divides Americans deeply.,[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/644.wav')],0
69,"[650, 651, 652]","[""Why shouldn't we have more reflection upon the issue before abor -- the decision of abortion is made."", 'I would hope that we would agree upon that.', 'Something like a 24-hour waiting period, parental notification.']","Why shouldn't we have more reflection upon the issue before abor -- the decision of abortion is made. I would hope that we would agree upon that. Something like a 24-hour waiting period, parental notification.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/650.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/651.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/652.wav')]","[653, 654]","['I was in Los Angeles recently and I talked to a woman who told me that she had an abortion when she was 17 years of age.', 'And looking back on that she said it was a mistake.']",I was in Los Angeles recently and I talked to a woman who told me that she had an abortion when she was 17 years of age. And looking back on that she said it was a mistake.,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/653.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/654.wav')]",0
70,"[111, 635]","['Thank you.', 'Bill Clinton and I support the right of a woman to choose.']",Thank you. Bill Clinton and I support the right of a woman to choose.,18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/111.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/635.wav')]",[637],"['And the way to reduce them is by reducing the number of unwanted pregnancies, not vetoing family planning legislation the way George Bush has consistently done.']","And the way to reduce them is by reducing the number of unwanted pregnancies, not vetoing family planning legislation the way George Bush has consistently done.",[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/637.wav')],1
71,"[727, 728, 730]","['And they want to stack the Supreme Court with justices who will take away the right to privacy.', 'Make no mistake about it.', 'I agree with Admiral Stockdale and the vast majority of Democrats and Republicans in this country.']",And they want to stack the Supreme Court with justices who will take away the right to privacy. Make no mistake about it. I agree with Admiral Stockdale and the vast majority of Democrats and Republicans in this country.,18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/727.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/728.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/730.wav')]",[731],"[""You know, one of the reasons so many Republicans are supporting the Clinton- Gore ticket is because they've turned over the party to this right wing extremist group which takes positions on issues like abortion that don't even allow exceptions for rape and incest.""]","You know, one of the reasons so many Republicans are supporting the Clinton- Gore ticket is because they've turned over the party to this right wing extremist group which takes positions on issues like abortion that don't even allow exceptions for rape and incest.",[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/731.wav')],1
72,"[684, 685, 686]","[""It has been debated throughout your public life and throughout my public life, and one thing that I don't think that it is wise to do, and that is to change your position."", 'At one time, and most of the time in the House of Representatives, you had a pro-life position.', ""That's simply not true.""]","It has been debated throughout your public life and throughout my public life, and one thing that I don't think that it is wise to do, and that is to change your position. At one time, and most of the time in the House of Representatives, you had a pro-life position. That's simply not true.",18_1992,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/684.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/685.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/686.wav')]","[688, 689]","['You wrote a letter saying that you oppose taxpayer funding of abortion.', 'Bill Clinton has the same type of a record.']",You wrote a letter saying that you oppose taxpayer funding of abortion. Bill Clinton has the same type of a record.,"[PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/688.wav'), PosixPath('/Users/vojislavwestmoreland/Desktop/AI/Master/Year_1/Term_4/LTP/LTP-fallacy-detection/data/data_afc/MMUSED-fallacy/audio_clips/18_1992/689.wav')]",2
